EstablishmentID,InspectionID,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,Latitude,Longitude,InspectionDate,Score,Grade,NameSearch,Intersection
106026,1411518,MCALISTER'S,,4002 TOWNE CENTER DR,,LOUISVILLE,KY,40241,FOOD SERVICE,38.2976,-85.4844,8/31/18 0:00,99,,MCALISTER'S,
85484,1419462,TUSCANY ITALIAN RESTAURANT,,165 OUTER LOOP,,LOUISVILLE,KY,40214,FOOD SERVICE,38.1266,-85.7832,10/4/18 0:00,92,,TUSCANY ITALIAN RESTAURANT,
106402,1428702,YOLO FROYO,,1906 WATTERSON TRAIL,,LOUISVILLE,KY,40299,FOOD SERVICE,0,0,10/19/18 0:00,100,,YOLO FROYO,
106404,1428711,DOC CROW'S SOUTHERN SMOKEHOUSE,,127 W MAIN ST,,LOUISVILLE,KY,40202,FOOD SERVICE,38.2563,-85.7532,10/23/18 0:00,100,,DOC CROW'S SOUTHERN SMOKEHOUSE,
52594,1392866,OUTBACK STEAKHOUSE,,6520 SIGNATURE DR,,LOUISVILLE,KY,40213,FOOD SERVICE,38.1541,0,6/21/18 0:00,,,OUTBACK STEAKHOUSE,
59048,1392868,MR. GATTI'S,,4200 OUTER LOOP,,LOUISVILLE,KY,40219,FOOD SERVICE,38.1372,-85.6824,6/21/18 0:00,,,MR. GATTI'S,
64938,1392930,PONDER CREEK,,620 VALLEY COLLEGE DR,,LOUISVILLE,KY,40272,FOOD SERVICE,38.1199,-85.8438,6/13/18 0:00,,,PONDER CREEK,
53576,1392933,FAZOLI'S,,10307 DIXIE HWY,,LOUISVILLE,KY,40272,FOOD SERVICE,38.105,-85.8678,6/18/18 0:00,,,FAZOLI'S,
59457,1392994,TUMBLEWEED,,9701 DIXIE HWY,,LOUISVILLE,KY,40272,FOOD SERVICE,38.1152,-85.8601,6/25/18 0:00,,,TUMBLEWEED,
105596,1396770,SEAFOOD LADY,,3201 FERN VALLEY RD,,LOUISVILLE,KY,40213,FOOD SERVICE,38.1574,-85.7059,6/27/18 0:00,96,,SEAFOOD LADY,
105428,1411669,J GUMBO'S,,2109 FRANKFORT AVE,,LOUISVILLE,KY,40206,FOOD SERVICE,38.2544,-85.7079,8/9/18 0:00,,,J GUMBO'S,
33823,1408331,MCDONALD'S,,2720 W BROADWAY,,LOUISVILLE,KY,40211,FOOD SERVICE,38.249,-85.7979,8/20/18 0:00,,,MCDONALD'S,
